Number,Item,Description,Condition,Status,Notes,ImageURL
964,Guide Book,Bubba City Climber's Guide,1,0,,
971,Climbing Shoes,Grey Evolv Size 5,1,0,,
975,Climbing Shoes,Black Evolv Size 8.5,3,0,,
989,Climbing Shoes,Grey Evolv Titan Size 12.5,1,0,,
1001,Stoves,MSR Fuel Canister 33oz/975 ml,1,0,,
1003,Stoves,MSR Fuel Canister 33oz/975 ml,1,0,,
1004,Stoves,Fuel Canister,1,0,,
1005,Stoves,Whisperlite,1,0,,
1006,Cooking,Gold Windscreen,1,0,,
1007,Cooking,Gold Windscreen,2,0,,
1007,Cooking,Gold Windscreen,1,0,,
1008,Tools,Saw Life Link,1,0,,
1009,Ground Tarp,Outdoor Research orange ground tarp (in a Sierra bag),1,0,,
1021,First Aid Kit,Blue,1,0,,
1023,First Aid Kit,Blue,1,0,,
1025,Sleeping Bag,Sierra Designs Cochise Delta blue,1,0,,
1026,Sleeping Bag,Delta blue Sierra Designs 15*F,1,0,,
1030,Sleeping Bag,Light blue Sierra Designs 0*F,2,0,,
1031,Sleeping Bag,Light blue Sierra Designs 0*F,1,0,,
1042,Cooking,Mesh bag with pan handle and ladle,2,0,,
1045,Cooking,"Pots, Black Mesh Bag, Two measuring cups",2,0,,
1046,Cooking,Cooking set in black bag (large cooking pot),1,0,,
1048,Water Filter,Katadyn water,3,2,,
1050,Water Filter,Sawyer 64oz filtration squeeze bags,1,0,,
1052,Compass,Compass,1,0,,
1056,Compass,Compass,1,0,,
1071,Helmet,White Caving/Trailblazing,1,0,,
1072,Helmet,White Caving/Trailblazing,2,0,,
1087,Belay Device,Silver GriGri Petzl,2,0,,
1102,Guide Book,Guide to the Appalachian Trail,1,0,,
1104,Guide Book,The Pocono Mountains,1,0,,
1113,Sleeping Bag,Green Sierra Designs,2,0,,
1115,Sleeping Bag,Red Sierra Designs,2,0,,
1118,Sleeping Bag,Blue Sierra Designs,2,0,,
1127,Chalkbag,Blue Misty Mountain,1,0,,
1133,Rope Bag,Black Metolius,1,0,,
1134,Rope Bag,Blue Metolius,1,0,,
1135,Rope Bag,Grey Metolius,1,0,,
1136,Sleeping Pad,Yellow/Grey Therm-A-Rest Z Lite,2,0,,
1148,Sleeping Pad,Yellow/Grey Therm-A-Rest Z Lite,1,0,,
1149,Sleeping Pad,Yellow/Grey Therm-A-Rest Z Lite,1,0,,
1183,Guide Book,Canoeing,1,0,,
1184,Guide Book,Canoeing and Kayaking,1,0,,
1185,Guide Book,The Best of Paddler,1,0,,
1186,Guide Book,Hiking in Grand teton national park (falcon guide),1,1,,
1193,Reel Bag,Brown Orvis,1,0,,
1195,Reel Bag,Brown Orvis,1,0,,
1196,Tackle Box,Clear,1,0,,
1198,Tackle Box,Clear,1,0,,
1199,Stuff Sack,Orange Sea to Summit 5L,1,0,,
1201,Stuff Sack,Green Sea to Summit 5L,1,0,,
1203,DVD,Head's Up! River Rescue for River Runners,1,0,,
1203,DVD,Head's Up! River Rescue for River Runners,1,0,,
1204,DVD,"Cold, Wet, and Alive",1,0,,
1205,DVD,Solo Open Whitewater Canoeing,1,0,,
1206,DVD,It's Your Turn A Defensive Boating Primer,1,0,,
1207,Guide Book,Introduction To Paddling,1,0,,
1208,Guide Book,"Paddle Safe, Paddle Smart",1,0,,
1209,Cooking,big orange water cooler,1,0,,
1214,Tent,Black 3 Person,1,0,,
1217,Stoves,Coleman Triton,1,0,,
1218,Stoves,Coleman Triton,1,0,,
1223,Stoves,MSR Whisperlight,1,0,,
1229,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
1230,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
1231,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
1232,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
1236,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
1250,Sleeping Bag,North Face,3,0,,
1251,Guide Book,New river gorge rock climbing,1,0,,
1262,Sleeping Bag,Red/Gray Mountain Hard Wear,1,0,,
1266,Climbing Shoes,Grey Evolv Titan Size 4,1,0,,
1267,Climbing Shoes,Grey Evolv Titan Size 5,2,0,,
1268,Climbing Shoes,Grey Evolv Titan Size 5,1,0,,
1270,Climbing Shoes,Grey Evolv Titan Size 5.5,1,0,,
1271,Climbing Shoes,Grey Evolv Titn Size 4.5,1,0,,
1281,Waders,Hodgman Size #10,1,0,,
1281,Waders,Hodgman Size #9,1,0,,
1288,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
1290,Headlamp,White Coleman,3,0,,
1300,Belay Device,Blue Black Diamond ATC W/ Screw Lock Gate,2,0,,
1301,Belay Device,Red Black Diamond ATC W/ Screw Lock Gate,2,0,,
1303,Locking Carabiner,Black Petzl,1,0,,
1333,Harness,Mammut S,2,0,,
1336,Harness,Mammut S,1,0,,
1338,Harness,Mammut M,2,0,,
1340,Harness,Mammut L,1,0,,
1349,Crash Pad,Black Madrock single fold,1,0,,
1351,Snowshoes,Blue,1,0,,
1353,Tent,Granite Gear,1,0,,
1365,Headlamp,Blue Preztl,1,0,,
1404,Guide Book,How To Fly Fish,1,0,,
1407,Slacklining Tree Pad,Green Gibbon Treewear,1,0,,
1407,Slacklining Tree Pad,Green Gibbon Treewear,1,0,,
1421,Harness,Black Diamond XS-M,1,0,,
1428,Belay Device,Silver Black Diamond ATC W/ Screw Lock Gate,1,0,,
1431,Belay Device,Silver Black Diamond ATC W/ Screw Lock Gate,1,0,,
1434,Belay Device,Silver Black Diamond ATC W/ Screw Lock Gate,2,0,,
1449,Locking Carabiner,Silver,1,0,,
1451,Belay Device,Gold Black Diamond ATC W/ Screw Lock Gate,2,0,,
1452,Belay Device,Silver Black Diamond ATC W/ Screw Lock Gate,2,0,,
1453,Belay Device,Red Black Diamond ATC W/ Screw Lock Gate,2,0,,
1455,Locking Carabiner,Silver Black Diamond,2,0,,
1459,Locking Carabiner,Silver,2,0,,
1461,Belay Device,Silver Black Diamond ATC W/ Screw Lock Gate,2,0,,
1461,Climbing Protection,Purple Black Diamond Camalot Size .5,1,0,,
1486,Cooking,Silver cooking pot with lid,2,0,,
1487,Cooking,Green Measuring Cup,1,0,,
1495,Tackle Box,Chomper Fanny Pack lookin bag with line and boxes inside,0,0,,
1496,Waders,Pro Line Size 13,1,0,,
1499,Climbing Shoes,Blue Evolv Titan Size 6.5,1,0,,
1500,Climbing Shoes,Blue Evolv Titan Size 6,1,0,,
1501,Climbing Shoes,Blue Evolv Size 7,2,0,,
1503,Climbing Shoes,Blue and orange Evolv. Size 7.5,2,0,,
1504,Climbing Shoes,Blue Evolv Titan Size 7.5,1,0,,
1505,Climbing Shoes,Green/Orange Evolv Docon Size 6,2,0,,
1506,Climbing Shoes,Green.Orange Evolv Docon Size 7,1,0,,
1507,Climbing Shoes,Green/Orange Evolv Docon Size 7.5,1,0,,
1514,Hammock,Orange/Grey ENO Double Nest,1,0,,
1517,Chalk Bag,Large Black Prana chalkbag,1,0,,
1518,Stoves,MSR Whisperlite,1,0,,
1519,Stoves,MSR Whisperlite,1,0,,
1521,Sleeping Bag,Green/Blue Outdoor Research,1,0,,
1522,Headlamp,Green Petzl,1,0,,
1522,Headlamp,Petzl,1,0,,
1528,Climbing Shoes,Blue Evolv Titan Size 8.5,2,0,,
1529,Climbing Shoes,Blue Evolv Titan Size 9,2,0,,
1532,Climbing Shoes,Blue Evolv Titan Size 12,1,0,,
1533,Climbing Shoes,Blue Evolv Titan Size 13,1,0,,
1534,Climbing Shoes,Blue Evolv Size 14,2,0,,
1536,Chalkbag,Green Wild Country large,1,0,,
1537,Chalk Bag,Large Green Wildcountry chalkbag,0,0,,
1545,Harness,Wild Country L,1,0,,
1547,Harness,Wild Country L,1,0,,
1550,Harness,Wild Country L,1,0,,
1558,GoPro,"GoPro Hero, selfie stick, attached floatie, mount, battery pack, SD card",1,0,,
1559,GoPro,"GoPro Hero, selfie stick, attached floatie, mount, battery pack, SD card",1,0,,
1560,Hammock,Yellow/Purple/Blue ENO,1,0,,
1562,Hammock,Atlas XL Straps,1,0,,
1564,Hammock,Atlas XL Straps,1,0,,
1565,Hammock,Grey/Navy Eno Rainfly,1,0,,
1566,Hammock,Grey/Navy ENO Rainfly,1,0,,
1573,Disk Golf,Orange,1,0,,
1575,Disk Golf,Red,1,0,,
1580,Backpack-Daypack,Red EXPED,3,0,,
1583,Harness,Wild Country XS,1,0,,
1584,Harness,Wild Country XS,1,0,,
1585,Stoves,MSR Pocket Rocket,2,0,,
1593,Sleeping Bag,Marmot Tressles 30,1,0,,
1596,Sleeping Bag,Green Marmot Tressles 30 with purple zippers,2,0,,
1597,Sleeping Bag,Orange/Black Alps Mountaineering,2,0,,
1599,Sleeping Bag Liner,Orange/Black Alps Mountaineering,2,0,,
1676,Hammock,Yellow/Purple/Blue ENO,2,0,,
1700,Climbing Shoes,Green/Orange Evolv Docon Size 9.5,1,0,,
1702,Climbing Shoes,Blue Evolv Titan Size 10.5,2,0,,
1703,Climbing Shoes,Blue Evolv Titan Size 10,1,0,,
1704,Disk Golf,Pink,1,0,,
