Number,Item,Description,Condition,Status,Notes,ImageURL
1981,Helmet,Blue/White Petzl Meteor,1,0,,
1982,Helmet,Blue/White Petzl Meteor,1,0,,
1992,Climbing Protection,Gold Black Diamond Ultralight Size 2 W/ color matched Hoodwire,1,0,,
1993,Climbing Protection,Grey Black Diamond Ultralight Size 0.4 W/ color matched Hoodwire,1,0,,
1994,Climbing Protection,Grey Black Diamond Ultralight Size 4 W/ color matched Hoodwire,1,0,,
1995,Climbing Protection,Grey Black Diamond Ultralight Size 4 W/ color matched Hoodwire,1,0,,
1996,Rope Bag,Grey Metolius,1,0,,
1997,Rope Bag,Grey Metolius,1,0,,
1998,Rope Bag,Grey Metolius,1,0,,
1999,Rope Bag,Grey Metolius,1,0,,
2000,Harness,Petzl Corax Periwinkle Small Harness,1,0,,
2001,Harness,Blue/Grey Petzl Corax L-XL,1,0,,
2004,Bear Container,Bear Vault Bear Container,1,0,,
2005,Sleeping Bag,Green,1,0,,
2006,Sleeping Bag,Green/Dark Green,1,0,,
2007,Sleeping Bag,Red REI,2,0,,
2008,Sleeping Bag,Red REI Lumen Regular 20*F,1,0,,
2009,Sleeping Bag,Red/Grey,1,0,,
2011,First Aid Kit,Red,1,0,,
2011,Sleeping Pad,Green Thermarest Ridgerest,1,0,,
2012,Stoves,JetBoil Sumo Black,1,0,,
2013,,Hammock,1,0,,
2014,Backpack,Green osprey escalante 90+100L,0,0,,
2015,Headlamp,Orange/Grey Black Diamond,0,0,,
2016,Sleeping Bag,Black Northwest Territory,3,0,,
2017,Ground Tarp,Blue,2,0,,
2019,Disk Golf,Orange,1,0,,
2019,Harness,Blue/Grey Petzl Corax S-M,1,0,,
2020,Cooking,Large white and blue cooler,1,0,,
2020,Harness,Blue/Grey Petzl Corax S-M,1,0,,
2021,Harness,Blue/Grey Petzl Corax L-XL,0,0,,
2022,Backpack Rain Cover,Dark Green Osprey 70L,1,0,,
2023,Backpack Rain Cover,Dark Green Osprey L,1,0,,
2024,Backpack Rain Cover,Dark Green Osprey L,1,0,,
2025,Backpack Rain Cover,Dark Green Osprey L,1,0,,
2026,Backpack Rain Cover,Dark Green Osprey L,1,0,,
2026,Backpack Rain Cover,Gray Osprey,1,0,,
2027,Backpack Rain Cover,Dark Green Osprey L,1,0,,
2028,Backpack Rain Cover,Gray Osprey,1,0,,
2029,Backpack Rain Cover,Dark Green Osprey L,1,0,,
2030,Backpack Rain Cover,Gray Osprey,1,0,,
2031,Hammock,Orange/Grey ENO Double Nest,1,0,,
2032,Hammock,Blue/Navy ENO Double Nest,1,0,,
2032,Hammock,Blue/Navy ENO Double Nest,1,0,,
2034,Hammock,Atlas XL Straps,1,0,,
2035,Hammock,Atlas XL Straps,1,0,,
2036,Hammock,Atlas XL Straps,1,0,,
2037,Headlamp,Orange/Grey Black Diamond,1,0,,
2038,Headlamp,Orange/Grey Black Diamond,1,0,,
2039,Headlamp,Orange/Grey Black Diamond,1,0,,
2040,Headlamp,Orange/Grey Black Diamond,1,0,,
2041,Harness,Blue/Grey Petzl Corax L-XL,1,2,,
2041,Headlamp,Orange/Grey Black Diamond,1,0,,
2042,Headlamp,White BYTE,1,0,,
2043,Trekking Poles,Black Leki,1,0,,
2044,Trekking Poles,Black Leki,1,0,,
2045,Helmet,White Caving/Trailblazing,2,0,,
2047,First Aid Kit,red,1,0,,
2047,Sleeping Pad,Yellow/Grey Therm-A-Rest Z Lite,0,0,,
2050,Climbing Protection,Grey Black Diamond Ultralight Size 0.4 W/ color matched Hoodwire,1,0,,
2052,Backpack,Green Osprey Escalante,0,0,,
2053,Tools,Red Hatchet,1,0,,
2054,Climbing Protection,Blue Black Diamond Camalot Size 0.3,1,0,,
2054,Climbing Protection,Grey Black Diamond Camalot Size .4,0,0,,
2055,Sleeping Pad,Orange REI,0,0,,
2056,REI travel sack,Grey,1,0,,
2057,Cooking,Silver pot with lid,2,0,,
2058,Guide Book,Acadia Climber's Guide,1,0,,
2059,DVD,"Cold, Wet, and Alive",1,0,,
2060,Harness,Blue/Grey Petzl Corax L-XL,1,0,,
2062,Guide Book,Hiking Virginia,1,0,,
2064,Climbing Protection,Green Torque Nuts Size 1,0,0,,
2065,Climbing Protection,Gold Torque Nuts Size 2,0,0,,
2066,Climbing Protection,Red Torque Nuts Size 3,0,0,,
2067,Climbing Protection,Blue Torque Nuts Size 4,0,0,,
2068,X-Country Ski Poles,"Blue/Silver Komperdell 50""",0,0,,
2069,Climbing Protection,Red Black Diamond Camalot Size 0.1,2,0,,
2072,Climbing Protection,Blue Black Diamond Camalot Size 0.3,2,0,,
2074,First Aid Kit,red/black small,2,0,,
2075,Crash Pad,madrock single fold,1,0,,
2076,Climbing Shoes,Green La Sportiva Tarantula Size 7,1,0,,
2077,Climbing Shoes,Green La Sportiva Tarantula Size 9,1,0,,
2078,Climbing Shoes,Green La Sportiva Tarantula Size 9,1,0,,
2079,Climbing Shoes,Green La Sportiva Tarantula Size 10,1,0,,
2081,Climbing Shoes,Green La Sportiva Tarantula Size 7,1,0,,
2082,Climbing Shoes,Green La Sportiva Tarantula Size 8.5,1,0,,
2083,Climbing Shoes,Orange La Sportiva Tarantula Size 7.5,1,0,,
2084,Climbing Shoes,Orange La Sportiva Tarantula Size 8.5,1,0,,
2085,Climbing Shoes,Orange La Sportiva Tarantula Size 8.5,1,0,,
2086,Climbing Shoes,Orange La Sportiva Tarantula Size 8.5,1,0,,
2088,Climbing Shoes,Orange La Sportiva Tarantula Size 6.0,0,0,,
2089,Climbing Shoes,Orange La Sportiva Tarantula Size 6.0,1,0,,
2090,Climbing Shoes,Orange La Sportiva Tarantula Size 6.0,1,0,,
2091,Climbing Shoes,Orange la sportiva tarantula size 6.0,1,0,,
2092,Climbing Shoes,Orange La Sportiva Tarantula Size 7.5,1,0,,
2094,Climbing Shoes,Orange La Sportiva size 6.5 +,0,0,,
2095,Climbing Shoes,Orange La Sportiva Tarantula 6.5+,1,0,,
2096,Climbing Shoes,Orange La Sportiva Tarantula Size 6.5,1,0,,
2097,Climbing Shoes,Orange La Sportiva tarantula Size7.5,1,0,,
2639,Headlamp,Orange/Grey Black Diamond,1,0,,
2871,Stoves,MSR Fuel Canister 22oz/650ml,1,0,,
2872,Stoves,MSR Isopro Fuel 8oz,1,0,,
2873,Stoves,Coleman Propane 16oz,1,0,,
2874,Stoves,Coleman Propane 16oz,1,0,,
2875,Stoves,Coleman Propane 16oz,1,0,,
2876,Stoves,Coleman Propane 16oz,1,0,,
2877,Stoves,Coleman Propane 16oz,1,0,,
3000,Headlamp,Orange/Grey Black Diamond,0,0,,
3000,Headlamp,Orange/Grey Black Diamond,1,0,,
3001,Helmet,White Caving/Trailblazing,1,2,,
3002,Candles,Ziplock Candles,3,0,,
3003,Gloves,Work Gloves,1,0,,
3004,Chalkbag,Red Metolius S,1,0,,
3005,Headlamp,Orange/Grey Black Diamond,0,0,,
3006,Headlamp,Orange/Grey Black Diamond,0,0,,
3007,Gloves,Work Gloves,3,0,,
3008,Sleeping Bag,Blue/Grey North Face Furnace,1,0,,
3009,Sleeping Bag,Blue/Grey REI,3,0,,
3010,Headlamp,Orange/Grey Black Diamond,1,0,,
3010,Backpack,ULA CDT,1,0,,
3011,Backpack,ULA CDT ultralite backpack,1,0,,
3011,Headlamp,Orange/Grey Black Diamond,1,2,,
3012,Headlamp,Orange/Grey Black Diamond,1,2,,
3013,Headlamp,Orange/Grey Black Diamond,1,2,,
3014,Headlamp,Orange/Grey Black Diamond,1,0,,
3015,Headlamp,Black/Grey Petzl Tikka plus 2,1,0,,
3016,Belay Device,Blue GriGri Petzl W/ Red Am'D Twist Gate,1,0,,
3017,Headlamp,Orange/Grey Black Diamond,0,0,,
3018,Chalkbag,Deep Red Metolious S,1,0,,
3019,Cooking,propane Extender,0,0,,
3020,Cooking,propane Extender,0,0,,
3021,Tent,Nemo Galaxy 2 Person,1,0,,
3022,Sleeping Bag,Red REI Lumen,1,0,,
3023,Tent,Kelty 10 Person,1,0,,
3026,Sleeping Bag,Royal blue sierra Designs,2,0,,
3028,Headlamp,Orange/Grey Black Diamond,2,0,,
3029,Harness,Blue/Grey Petzl Corax S-M,2,0,,
3031,Ground Tarp,Brown/Green Kelty,1,0,,
3032,Backpack,Deep Blue Osprey 90L,1,0,,
3033,Hammock,Grey/Red ENO Ember2 Underquilt,2,0,,
3034,Hammock,Grey/Red ENO Ember2 Underquilt,1,0,,
3035,Hammock,Atlas XL Straps,2,0,,
3036,Hammock,Yellow/Blue ENO Double Nest,2,0,,
3037,Hammock,Orange/Yellow/Red Eno Double Nest,2,0,,
3038,Hammock,Brown/Red ENO Double Nest,2,0,,
3039,Hammock,Atlas XL Straps,2,0,,
3040,Hammock,Dark Green ENO Rainfly,2,0,,
3041,Hammock,Grey ENO Rainfly,2,0,,
3042,Belay Device,Grey GriGri Petzl W/ Red Am'D Twist Gate,0,0,,
3043,Belay Device,Grey GriGri Petzl W/ Red Am'D Twist Gate,0,0,,
3044,Belay Device,Grey GriGri Petzl W/ Red Am'D Twist Gate,0,0,,
3045,Belay Device,Grey GriGri Petzl W/ Red Am'D Twist Gate,0,0,,
3046,Belay Device,Grey GriGri Petzl W/ Red Am'D Twist Gate,0,0,,
3047,Belay Device,Grey GriGri Petzl W/ Red Am'D Twist Gate,0,0,,
3048,Belay Device,Grey GriGri Petzl W/ Red Am'D Twist Gate,0,0,,
3049,Belay Device,Grey GriGri Petzl W/ Red Am'D Twist Gate,0,0,,
3050,Headlamp,Orange/Grey Black Diamond,2,0,,
3051,Headlamp,Black/Red PTEC,2,0,,
3054,Headlamp,PETZL yellow piece of shit headlamp + battery,3,0,,
3056,Headlamp,Black/Grey PrincetonTec,2,0,,
3059,Harness,Blue/Grey Petzl Corax L-XL,1,0,,
3060,Haul Bag,Green Metolius Half Dome,0,0,,
3061,Backpack,Blue Osprey Escalante 90L,0,0,,
3062,Tools,Grey/Yellow TrueTemper Hoe,0,0,,
3063,Tools,Grey/Yellow TrueTemper Hoe,0,0,,
3064,Tools,Black/Blue Cobalt Shovel,0,0,,
3065,Tools,Grey TrueTemper Pickaxe,0,0,,
3066,Tools,Black/Blue Cobalt Shovel,0,0,,
3067,Tools,Black/Blue Cobalt Shovel,0,0,,
3068,Tools,Black/Yellow Trowel,0,0,,
3069,Tools,Black/Yellow Trowel,0,0,,
3070,Tools,Blcak/Yellow Fork,0,0,,
3071,Tools,Blcak/Yellow Fork,0,0,,
3072,Tools,Weeders,0,0,,
3073,Tools,Weeders,0,0,,
3074,Tools,Red Hatchet,2,0,,
3075,Tools,Grey/Black TrueTemper Tamper,0,0,,
3076,Gloves,White/Black Goatskin L,0,0,,
3077,Gloves,White/Black Goatskin XL,0,0,,
3078,Gloves,White/Black Goatskin M,0,0,,
3079,Gloves,White/Black Goatskin L,0,0,,
3080,Tripod,Black Manfrotto,0,0,,
3081,Harness,Blue/Gray Petzl Corax S-M,1,0,,
3084,Trekking Poles,Black,1,0,,
3085,Headlamp,Orange/Grey Black Diamond,1,0,,
3086,First Aid Kit,Sam Splint,1,0,,
3088,Backpack Rain Cover,Grey REI 40L,0,0,,
3089,Backpack Rain Cover,Orange REI 60L,0,0,,
3090,Backpack Rain Cover,Orange REI 60L,0,0,,
3091,Backpack Rain Cover,Orange REI 60L,0,0,,
3092,Backpack Rain Cover,Orange REI 60L,0,0,,
3093,Backpack Rain Cover,Orange REI 80L,0,0,,
3094,Backpack Rain Cover,Grey REI 80L,0,0,,
3095,Backpack Rain Cover,Grey REI 80L,0,0,,
3096,Backpack Rain Cover,Grey REI 80L,0,0,,
3097,Backpack Rain Cover,Grey REI 100L,0,0,,
3098,Backpack Rain Cover,Grey REI 100L,0,0,,
3099,Stick Clip,Blue Beta Climbing Designs,0,0,,
3100,Climbing Shoes,Blue Evolv Titan Size 12.5,0,0,,
3101,Climbing Shoes,Blue Evolv Titan Size 13,0,0,,
3102,Climbing Shoes,Blue Evolv Titan Size 13,0,0,,
3103,Climbing Shoes,Blue Evolv Titan Size 12,0,0,,
3104,Climbing Shoes,Blue Evolv Titan Size 12,0,0,,
3105,Climbing Shoes,Blue Evolv Titan Size 11.5,0,0,,
3106,Climbing Shoes,Blue Evolv Titan Size 11,0,0,,
3107,Climbing Shoes,Blue Evolv Titan Size 11,0,0,,
3108,Climbing Shoes,Blue Evolv Titan Size 11.5,0,0,,
3109,Climbing Shoes,Blue Evolv Titan Size 11,0,0,,
3110,Climbing Shoes,Blue Evolv Titan Size 10.5,0,0,,
3111,Climbing Shoes,Blue Evolv Titan Size 10,0,0,,
3112,Climbing Shoes,Blue Evolv Titan Size 10,0,0,,
3113,Climbing Shoes,Blue Evolv Titan Size 10,0,0,,
3114,Climbing Shoes,Blue Evolv Titan Size 10,0,0,,
3115,Climbing Shoes,Blue Evolv Titan Size 9,1,0,,
3116,Climbing Shoes,Blue Evolv Titan Size 9,1,0,,
3117,Climbing Shoes,Blue Evolv Titan Size 9.5,0,0,,
3118,Backpack,Navy osprey escalante 90+10L,0,0,,
3119,Chalk Bag,Blue misty mountain chalk bag,3,0,,
3120,Sleeping Pad,Blue yoga mat that is doubling as a sleeping pad,1,0,,
3121,Work Gloves,Grey/Black Work Gloves,1,0,,
3122,Work Gloves,Grey/Black Work Gloves,1,0,,
3123,Ground Tarp,Kelty 2? Person Ground Tarp,1,0,,
3124,Gloves,beige and blue with yellow stripes,3,0,,
3124,Gloves,"Grey gloves with blue sleeve, no brand",3,0,,
3125,Sleeping Bag,North Face Orange and Grey Sleeping Bag,2,0,,
3126,Tent,Alps Mountaineering 3 person,1,0,,
3127,Headlamp,Orange Black Diamond headlamp,1,0,,
3128,Sleeping Bag,Red Marmot Never Summer 0 degrees,0,0,,
3129,Sleeping Bag,Red Marmot Never Summer 0 degrees,0,0,,
3219,Caving,,2,0,,
3500,Caving,Black knee pads,2,0,,
3501,Caving,black knee pads,2,0,,
3502,Caving,black knee pads,2,0,,
3503,Headlamp,black diamond head lamp,0,0,,
3705,Tools,Tamper,1,0,,
3910,Backpack Rain Cover,Black MountainSmith Rain Cover 3,0,0,,
5014,Chalkbag,Metolius yellow chalk bag,2,0,,
5063,Sleeping Bag,Black Coleman,2,0,,
5064,Sleeping Pad,Insul-A-Mat Wenzel Fat Sleeping Pad,3,0,,
5065,Sleeping Bag,"Coleman wide/2p sleeping bag grey exterior, blue interior",2,0,,
5066,Sleeping Pad,ThermaRest Z-Lite,0,0,,
5067,Sleeping Pad,ThermaRest Z-Lite,0,0,,
5068,Sleeping Pad,ThermaRest Z-Lite,0,0,,
5069,Sleeping Pad,ThermaRest Z-Lite,0,0,,
5070,Sleeping Pad,ThermaRest Z-Lite,0,0,,
5071,Sleeping Pad,ThermaRest Z-Lite,0,0,,
5072,Sleeping Pad,ThermaRest Z-Lite,0,0,,
5073,Sleeping Pad,ThermaRest Z-Lite,0,0,,
5074,Sleeping Pad,ThermaRest Z-Lite,0,0,,
5075,Sleeping Bag,Lumen 20-degree regular 3 season,0,0,,
5076,Sleeping Bag,Lumen 20-degree regular 3 season,0,0,,
5077,Sleeping Bag,Lumen 20-degree regular 3 season,0,0,,
5078,Sleeping Bag,Lumen 20-degree regular 3 season,0,0,,
5079,Sleeping Bag,Lumen 20-degree regular 3 season,0,0,,
5080,Sleeping Bag,Lumen 20-degree regular 3 season,0,0,,
5081,Sleeping Bag,Lumen 20-degree regular 3 season,0,0,,
5082,Sleeping Bag,Lumen 20-degree regular 3 season,0,0,,
5083,Sleeping Bag,Red Marmot Never Summer 0 degrees,0,0,,
5084,Headlamp,Orange/Grey Black Diamond,0,0,,
5085,Headlamp,Orange/Grey Black Diamond,0,0,,
5088,Headlamp,Orange/Grey Black Diamond,0,0,,
5089,Hammock,Green Yukon Outfitters,1,0,,
5090,First Aid Kit,Blue Mountain Series Medical Kit Fundamentals,0,0,,
5091,First Aid Kit,Blue Mountain Series Medical Kit Fundamentals,0,0,,
5092,First Aid Kit,Blue Mountain Series Medical Kit Fundamentals,0,0,,
5093,First Aid Kit,Blue Mountain Series Medical Kit Fundamentals,0,0,,
5094,First Aid Kit,Blue Mountain Series Medical Kit Fundamentals,0,0,,
5095,First Aid Kit,Blue Mountain Series Medical Kit Fundamentals,0,0,,
5096,First Aid Kit,Blue Mountain Series Medical Kit Fundamentals,0,0,,
5097,First Aid Kit,Blue Mountain Series Medical Kit Fundamentals,0,0,,
5098,First Aid Kit,Blue Mountain Series Medical Kit Fundamentals,0,0,,
5099,First Aid Kit,Blue Mountain Series Medical Kit Fundamentals,0,0,,
5100,Backpack,Grey Osprey Volt 75L,0,0,,
5101,Climbing Protection,Black Petzl Jumar/ ascender left handed,0,0,,
5102,Climbing Protection,Black Petzl Jumar/ ascender right handed,0,0,,
5103,Emergency Blanket,Heatsheets Survival Blanket 1-2 people,0,0,,
5104,Emergency Blanket,Heatsheets Survival Blanket 1-2 people,0,0,,
5105,Emergency Blanket,Heatsheets Survival Blanket 1-2 people,0,0,,
5106,Emergency Blanket,Heatsheets Survival Blanket 1-2 people,0,0,,
5107,Emergency Blanket,Heatsheets Survival Blanket 1-2 people,0,0,,
5108,Emergency Blanket,Heatsheets Survival Blanket 1-2 people,0,0,,
5109,Emergency Blanket,Heatsheets Survival Blanket 1-2 people,0,0,,
5110,Emergency Blanket,Heatsheets Survival Blanket 1-2 people,0,0,,
5111,Emergency Blanket,Heatsheets Survival Blanket 1-2 people,0,0,,
5112,Emergency Blanket,Heatsheets Survival Blanket 1-2 people,0,0,,
5113,Backpack,Grey Osprey Volt 75L,0,0,,
5114,Backpack,Grey Osprey Volt 75L,0,0,,
5115,Backpack,Grey Osprey Volt 75L,0,0,,
5116,Cooking,Black GSI cookset,0,0,,
5118,Cooking,Black GSI cookset,0,0,,
5119,Tent,Green and Grey Nemo Galaxi 2 person,0,0,,
5120,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5121,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5122,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5123,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5124,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5125,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5126,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5127,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5128,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5129,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5130,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5131,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5132,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5133,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5134,First Aid Kit,Ultralight/Watertight Yellow .7 Medical Kit,0,0,,
5135,Guide Book,Pisgah National Forest Ranger District,1,0,,
5136,Sleeping Pad,Gray Ridgerest,1,0,,
5137,Sleeping Bag,Green Alps Mountaineering 20 degree,1,0,,
5138,Sleeping Bag,Blue/Green Nemo 30F,1,0,,
5139,Sleeping Bag,Royal Blue Sierra Designs Zizzou 15,1,0,,
5140,Hammock,Blue/LightBlue Eno Single,1,0,,
5141,Hammock,ENO Atlas XL Straps,1,0,,
5142,Sleeping Bag,Black Northwest territory sleeping bag,1,0,,
5143,Sleeping Bag Liner,Black and red razor sleeping bag liner,1,0,,
5144,Hammock,ENO Atlas XL Straps,1,0,,
5145,Hammock,ENO Atlas XL Straps,1,0,,
5148,Hammock,NUO Hammock Straps,1,0,,
5148,Headlamp,Grey Black Diamond,0,0,,
5149,Sleeping Bag,Green REI Coop,1,0,,
5149,Headlamp,Grey Black Diamond,0,0,,
5150,Guide Book,Jackson Hole Trail Map Adventure Maps,1,0,,
5150,Headlamp,Orange Black Diamond,0,0,,
5151,Guide Book,Yellowstone Nat Geo Trails Illustrated Map,1,0,,
5151,Headlamp,Light Grey Black Diamond,0,0,,
5152,Guide Book,Grand Teton Nat Geo Trails Illustrated Map,1,0,,
5152,Headlamp,Grey Black Diamond,0,0,,
5153,Headlamp,Grey Black Diamond,0,0,,
5154,Guide Book,Moab Canyoneering,1,0,,
5154,Headlamp,Orange Black Diamond,0,0,,
5155,Guide Book,High on Moab Moab Climbs,1,0,,
5155,Headlamp,Light Grey Black Diamond,0,0,,
5156,Guide Book,Canyonlands National Park Nat Geo,1,0,,
5156,Headlamp,Grey Black Diamond,0,0,,
5157,Guide Book,Moab Single Track Map,1,0,,
5157,Headlamp,Light Grey Black Diamond,0,0,,
5158,Guide Book,Capitol Reef National Park Nat Geo Map,1,0,,
5158,Headlamp,Light Grey Black Diamond,0,0,,
5159,Guide Book,Arches National Park Nat Geo Map,1,0,,
5159,Headlamp,Orange Black Diamond,0,0,,
5160,Guide Book,Manti-La Sal National Forest Nat Geo Map,1,0,,
5161,Guide Book,Moab North Nat Geo Map,1,0,,
5162,Guide Book,Moab South Nat Geo Map,1,0,,
5162,Headlamp,Orange Black Diamond,0,0,,
5163,Headlamp,Orange Black Diamond,0,0,,
5164,Climbing Protection,DMM offset nut set of 5,0,0,,
5165,Sleeping Bag Liner,Sea to summit thermolite,0,0,,
5166,Sleeping Bag Liner,Sea to summit thermolite,0,0,,
5167,Sleeping Bag Liner,Sea to summit thermolite,0,0,,
5168,Sleeping Bag Liner,Sea to summit thermolite,0,0,,
5169,Sleeping Bag Liner,Sea to summit thermolite,0,0,,
5170,Sleeping Bag Liner,Sea to summit thermolite,0,0,,
5171,Sleeping Bag Liner,Sea to summit thermolite,0,0,,
5172,Sleeping Bag Liner,Sea to summit thermolite,0,0,,
5173,Sleeping Bag Liner,Sea to summit thermolite,0,0,,
5174,Sleeping Bag Liner,Sea to summit thermolite,0,0,,
5175,Water Filter,Sawyer squeeze,0,0,,
5176,Water Filter,Sawyer squeeze,0,0,,
5177,Water Filter,Sawyer squeeze,0,0,,
5178,Bike Rack,Kuat trio roof mountain bike rack with accessory bag (single bike),0,0,,
5179,Bikepacking Gear,Grey Ortleib handle bar bag (15 L),0,0,,
5180,Bikepacking Gear,Grey Ortleib seat post bag (11L),0,0,,
5181,Bikepacking Gear,Grey Ortleib handle bar bag (9 L),0,0,,
5182,Bikepacking Gear,Grey Ortleib handle bar bag (9 L),0,0,,
5183,Bikepacking Gear,Grey Ortleib handle bar bag (15 L),0,0,,
5184,Bikepacking Gear,Grey Ortleib handle bar bag (15 L),0,0,,
5185,Bikepacking Gear,Grey Ortleib seat post bag (11L),0,0,,
5186,Bikepacking Gear,Grey Ortleib seat post bag (11L),0,0,,
5187,Bikepacking Gear,Grey Ortleib handle bar bag (15 L),0,0,,
5188,Bikepacking Gear,Grey Ortleib fram bag (4L),0,0,,
5189,Bikepacking Gear,Grey Ortleib fram bag (4L),0,0,,
5190,Bikepacking Gear,Grey Ortleib fram bag (6L),0,0,,
5191,Bikepacking Gear,Grey Ortleib top tube bag,0,0,,
5192,Bikepacking Gear,Grey Ortleib seat post bag (11L),0,0,,
5193,Bike Rack,Yakima 4 bike tray,0,0,,
5194,Bike Rack,Yakima 2 bike tray,0,0,,
5416,Hammock,Navy/Light Blue ENO underquilt,1,0,,
5417,Sleeping Bag,Red/black Warmfoot Ozark trail,2,0,,
6969,Headlamp,Orange/Grey Black Diamond,1,0,,
42069,Headlamp,Orange/Gray Black Diamond,1,0,,
69420,Headlamp,Orange/Grey Black Diamond - Needs Batteries,1,0,,
-1,Belay Device,BD Green ATC Guide,1,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Alpine Draw,Orange/Grey CAMP 60cm,0,0,,
-1,Backpack,Adidas Black/Green String Backpack,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Carabiner,Grey Black Diamond Neutrino,0,0,,
-1,Climbing Protection,Black Metolius Nut Tool,1,0,,
-1,Climbing Protection,Silver Wild Country Nut Tool,1,0,,
-1,Climbing Protection,Silver Black Diamond Nut set 4-13,3,0,,
-1,Climbing Protection,Blue/Pink/Brown/Red Tricams,2,0,,
-1,Climbing Protection,Silver Black Diamond Nut set 4-14,3,0,,
-1,Climbing Protection,Silver Black Diamond Nut set 4-15,3,0,,
-1,Climbing Protection,Silver Black Diamond Nut Tool,2,0,,
-1,Cooking,Cooking pan (Actually a pot top for a 2 pot),1,0,,
-1,Cordalette,Black Cordalette 7mm 30ft,1,0,,
-1,Cordalette,Green Cordalette 7mm 30ft,1,0,,
-1,Cordalette,Purple/Blue/Black 6mm 60cm,2,0,,
-1,Cordalette,Red/Black/Grey 6mm 60cm,2,0,,
-1,Cordalette,Red/Black/Grey 6mm 60cm,1,0,,
-1,Hammock,Atlas XL Straps,1,0,,
-1,Locking Carabiner,Grey/Blue Black Diamond RockLock Screwgate,0,0,,
-1,Locking Carabiner,Grey/Blue Black Diamond RockLock Screwgate,0,0,,
-1,Locking Carabiner,Grey/Blue Black Diamond RockLock Screwgate,0,0,,
-1,Locking Carabiner,Grey/Blue Black Diamond RockLock Screwgate,0,0,,
-1,Locking Carabiner,Grey/Blue Black Diamond RockLock Screwgate,0,0,,
-1,Locking Carabiner,Grey/Blue Black Diamond RockLock Screwgate,0,0,,
-1,Locking Carabiner,Grey/Blue Black Diamond RockLock Screwgate,0,0,,
